text,label
الضفة الغربية.. الاحتلال يهدم 17 منزلا تاريخيا ومسيرات تندد بالعدوان على غزة هدمت قوات الاحتلال الإسرائيلي -اليوم الأربعاء- 17 منزلا تاريخيا قرب بيت لحم، بينما انطلقت مسيرات حاشدة للتنديد بالعدوان الإسرائيلي على قطاعغزةفي مناطق متفرقة منالضفة الغربية، ومن جانبها حذرت واشنطن والأمم المتحدة من اعتداءات المستوطنين المستمرة على الفلسطينيين. وقال حسن بريجية، مدير مكتب هيئة مقاومة الجدار والاستيطان بمدينة بيت لحم إن جيش الاحتلال والمستوطنين هدموا 17 بيتا في قرية شوشحلة قرب بيت لحم جنوبي الضفة، وأشار إلى أن المنازل مشيدة من الحجر القديم، ويعود عمرها إلى ما يزيد على 200 عام. ولفت إلى أن مست,0
"مظاهرات بمدن أوروبية تضامنا مع غزة وحشود أمام داونينغ ستريت خرجت مظاهرات في عدد من المدن الأوروبية مساء الأربعاء للمطالبة بوقف الحرب الإسرائيلية على قطاعغزة، وردد المتظاهرون هتافات تنادي بالحرية للشعب الفلسطيني. وخلّفت الحرب المتواصلة منذ 26 يوما أكثر من 8700 شهيد، جلهم من النساء والأطفال، حيث مُحيت عائلات بأكملها من السجل المدني، كما دمرت أحياء كاملة في القطاع. تظاهر المئات -وفقا لتقديرات الشرطة- أمام مقر الحكومة ""10 داونينغ ستريت"" في لندن بالتزامن مع لقاء رئيس الوزراء البريطانيريشي سوناكمعكامالا هاريسنائبة الرئيس الأميركي. وقال مراسل الجزيرة أسد الله الصاوي إن الم",0
شهداء في جنين وطولكرم وإضراب عام بالضفة الغربية تنديدا بمجازر غزة استشهد 4 فلسطينيين واعتقل عشرات آخرون -اليوم الأربعاء- في عمليات اقتحام جديدة نفذتها قوات الاحتلال الإسرائيلي في مناطق عدة فيالضفة الغربيةفي إطار تصعيد مستمر منذ إطلاق المقاومة معركةطوفان الأقصىفي السابع من أكتوبر/تشرين الأول الماضي، في حين شهدت الضفة إضرابا عاما تنديدا بالمجازر الإسرائيلية فيغزة. واقتحمت قوات الاحتلال فجر اليوم مدنا وبلدات في جنين وطولكرم وقلقيلية وبيت لحم والخليل ورام الله وأحياء في القدس المحتلة. وأفاد مراسل الجزيرة باستشهاد 3 فلسطينيين وإصابة 4 آخرين جراء قصف مسيرة إسرائيلية مخيم جنين ب,0
"أبو عبيدة: خسائر العدو أكبر بكثير مما يعلن وسنجعل غزة لعنة التاريخ عليه أكد الناطق باسمكتائب الشهيد عز الدين القسام-الجناح العسكري لحركة المقاومة الإسلامية (حماس)- أبو عبيدة؛ أن أعداد القتلى الإسرائيليين ""أكبر بكثير"" مما تعلنه القيادة الإسرائيلية، متوعدا -في كلمة له- بجعل غزة ""لعنة التاريخ"" على هذا الكيان. وقال ""إن القيادة الإسرائيلية تكذب على جمهورها بشأن أعداد القتلى من الجنود فيقطاع غزةوفي سير المعارك"". وخاطب الإسرائيليين قائلا ""ترقبوا المزيد من جنودكم عائدين في أكياس سوداء"". وأضاف أن ""قيادتكم التي كذبت عليكم في حصانة فرقة غزة وكذبت عليكم في تقديراتها بأننا لن نقدم على مهاجم",0
9 شهداء بالضفة والاحتلال يشن حملة اعتقالات استشهد 9 فلسطينيين في مواجهات اندلعت مع قوات الاحتلال الإسرائيلي في مناطق مختلفة منالضفة الغربيةالليلة الماضية وفجر اليوم الجمعة، وفق مراسل الجزيرة. ففي مخيم جنين، قتلت قوات الاحتلال 5 شبان خلال القصف والاقتحام لمدينةجنينومخيمها، وأفاد المراسل بأن اثنين من الشهداء سقطا بصاروخ أطلقته مسيّرة إسرائيلية على مجموعة من المقاومين الفلسطينيين في مخيم جنين، في حين استشهد الثلاثة الآخرون بنيران قوات الاحتلال خلال المواجهات. وأفادت وزارة الصحة الفلسطينية باستشهاد 7 برصاص الاحتلال الإسرائيلي فجر وصباح اليوم الجمعة، بين,0
شهداء وقصف وتفجير باقتحام قوات الاحتلال نابلس وجنين بالضفة استشهد 4 فلسطينيين خلال قصف واقتحام قوات الاحتلال الإسرائيلي مدينةجنينومخيمها فيالضفة الغربية، كما اقتحمت أيضا مدينةنابلسوسط اشتباكات مع عناصر من المقاومة. وأفاد مراسل الجزيرة بأن فلسطينيَّين استشهدا -فجر اليوم الجمعة- في قصف صاروخي إسرائيلي استهدف مخيم جنين، وبذلك يرتفع إجمالي عدد الشهداء في الضفة الغربية إلى 138 منذ السابع من أكتوبر/تشرين الأول الماضي. وقبلها، أعلنت وزارة الصحة الفلسطينية، مساء الخميس، استشهاد شابين فلسطينيين برصاص الجيش الإسرائيلي خلال اقتحامه مدينة جنين ومخيمها. وأضافت الوزارة أن 4 أشخا,0
"أبو عبيدة: دمرنا 24 آلية عسكرية إسرائيلية قال الناطق باسمكتائب الشهيد عز الدين القسام-الجناح العسكري لحركة المقاومة الإسلامية (حماس)- أبو عبيدة إن الكتائب دمرت 24 آلية عسكرية إسرائيلية، مؤكدا ""مقاتلونا يواصلون الالتفاف خلف قوات العدو ويلتحمون من المسافة صفر مع جنوده"". وأضاف أبو عبيدة أن كتائب القسّام أدخلت خلال اليومين الماضيين قذائف الياسين التي استهدفت القوات المتحصنة بالبنايات. وتابع أبو عبيدة ""وجهنا ضربات بصواريخ موجهة مضادة للدروع نحو الآليات العسكرية الإسرائيلية""، مؤكدا ""مجاهدونا يقاتلون في محاور تقدم العدو بشمال غرب مدينة غزة وجنوبها وبيت حا",0
الاحتلال ينفذ اقتحامات جديدة بالضفة الغربية ويشتبك مع مقاومين اقتحمت قوات الاحتلال الإسرائيلي فجر اليوم الأحد مدنا وبلدات عدة فيالضفة الغربيةبينها جنين ونابلس واشتبكت مع مقاومين، وذلك في إطار تصعيد مستمر منذ إطلاق المقاومة الفلسطينية معركةطوفان الأقصىقبل نحو شهر. وقال مراسل الجزيرة إن مواجهات عنيفة اندلعت في جنين بعد اقتحام قوات الاحتلال المدينة ونشرها فرق القناصة فوق عدد من المباني. وأضاف أن الجيش الإسرائيلي دفع بتعزيزات إضافية للمدينة، مشيرا إلى أن جنود الاحتلال حاصروا منزلا في جنين بذريعة وجود مطلوبين بداخله. كما أفاد مراسل الجزيرة باقتحام قوات إسرائيلية مخيم عسكر ,0
"القسام تعلن فقدان أكثر من 60 أسيرا جراء القصف الإسرائيلي قالتكتائب القسامالجناح العسكري لحركة المقاومة الإسلامية (حماس) إن القصف الإسرائيلي على قطاعغزةتسبب بفقدان أكثر من 60 أسيرا من الأسرى الإسرائيليين في القطاع منذ السابع من أكتوبر/تشرين الأول الماضي وحتى الآن. وأضافت أنه ""بعد عمليات البحث، لا تزال 23 جثة منهم مفقودة تحت الأنقاض حتى الآن""، وفقا لما جاء في بيان للمتحدث باسم كتائب القسام أبو عبيدة عبر تليغرام. وتابعت ""يبدو أننا لن نستطيع الوصول إليها أبدا بسبب استمرار العدوان الوحشي للاحتلال على غزة"". وكانت كتائب القسام قد أعلنت أنها تحتجز 200 أسير من نحو 250 إسر",0
"أكبر مظاهرة بواشنطن منذ بدء الحرب على غزة وانتقادات لاذعة لبايدن شارك الآلاف في مظاهرة حاشدة بالعاصمة الأميركيةواشنطنللمطالبة بوقف الحرب الإسرائيلية علىغزة، منددين بالسياسات الداعمة لإسرائيل وبدور الرئيسجو بايدنالذي وصفه متظاهرون بأنه ""شريك في الإبادة"". وسار المتظاهرون في شوارع واشنطن ملوحين بالأعلام الفلسطينية، ورددوا هتافات من بينها ""بايدن، بايدن لا يمكنك الاختباء، لقد اشتركت في الإبادة""، ثم تجمعوا عند ساحة الحرية على بعد خطوات من البيت الأبيض. ووفقا لما أوردته وكالة الصحافة الفرنسية، فإن هذه تعد أكبر مظاهرة في العاصمة الأميركية منذ بدء الحرب على غزة. وأمضى كثير من الم",0
